GEOID,NAME,variable,estimate,moe,rank,group_assigned
48257,"Kaufman County, Texas",pop17,114852,NA,39,31
48037,"Bowie County, Texas",pop17,93635,NA,40,28
48469,"Victoria County, Texas",pop17,91518,NA,41,7
48397,"Rockwall County, Texas",pop17,90414,NA,42,14
48231,"Hunt County, Texas",pop17,90322,NA,43,7
48005,"Angelina County, Texas",pop17,87700,NA,44,16
48361,"Orange County, Texas",pop17,83909,NA,45,37
48021,"Bastrop County, Texas",pop17,80306,NA,46,29
48291,"Liberty County, Texas",pop17,79884,NA,47,24
48213,"Henderson County, Texas",pop17,79687,NA,48,35
48099,"Coryell County, Texas",pop17,75818,NA,49,10
48471,"Walker County, Texas",pop17,70818,NA,50,33
48409,"San Patricio County, Texas",pop17,66867,NA,51,18
48203,"Harrison County, Texas",pop17,66606,NA,52,27
48347,"Nacogdoches County, Texas",pop17,65411,NA,53,35
48427,"Starr County, Texas",pop17,63420,NA,54,36
48497,"Wise County, Texas",pop17,63247,NA,55,6
48001,"Anderson County, Texas",pop17,57747,NA,56,15
48323,"Maverick County, Texas",pop17,57471,NA,57,25
48199,"Hardin County, Texas",pop17,55993,NA,58,26
48221,"Hood County, Texas",pop17,55418,NA,59,32
48467,"Van Zandt County, Texas",pop17,53607,NA,60,12
48401,"Rusk County, Texas",pop17,53026,NA,61,22
48073,"Cherokee County, Texas",pop17,51594,NA,62,5
48265,"Kerr County, Texas",pop17,50761,NA,63,21
48277,"Lamar County, Texas",pop17,49401,NA,64,19
48465,"Val Verde County, Texas",pop17,48976,NA,65,5
48325,"Medina County, Texas",pop17,48548,NA,66,18
48473,"Waller County, Texas",pop17,48443,NA,67,7
48349,"Navarro County, Texas",pop17,48239,NA,68,19
48013,"Atascosa County, Texas",pop17,48139,NA,69,31
48493,"Wilson County, Texas",pop17,47205,NA,70,8
48373,"Polk County, Texas",pop17,46974,NA,71,14
48053,"Burnet County, Texas",pop17,45017,NA,72,23
48499,"Wood County, Texas",pop17,43315,NA,73,32
48481,"Wharton County, Texas",pop17,41430,NA,74,31
48249,"Jim Wells County, Texas",pop17,41318,NA,75,32
48143,"Erath County, Texas",pop17,41016,NA,76,10
48055,"Caldwell County, Texas",pop17,40544,NA,77,17
48459,"Upshur County, Texas",pop17,40506,NA,78,3
48259,"Kendall County, Texas",pop17,40306,NA,79,2
48071,"Chambers County, Texas",pop17,39283,NA,80,5
48097,"Cooke County, Texas",pop17,39064,NA,81,5
48049,"Brown County, Texas",pop17,37787,NA,82,10
48321,"Matagorda County, Texas",pop17,36744,NA,83,26
48227,"Howard County, Texas",pop17,36491,NA,84,24
48223,"Hopkins County, Texas",pop17,35929,NA,85,29
48241,"Jasper County, Texas",pop17,35444,NA,86,25
48217,"Hill County, Texas",pop17,35098,NA,87,31
48477,"Washington County, Texas",pop17,34667,NA,88,21
48189,"Hale County, Texas",pop17,34527,NA,89,1
48147,"Fannin County, Texas",pop17,33787,NA,90,32
48025,"Bee County, Texas",pop17,32729,NA,91,31
48449,"Titus County, Texas",pop17,32664,NA,92,11
48273,"Kleberg County, Texas",pop17,31540,NA,93,5
48067,"Cass County, Texas",pop17,30118,NA,94,3
48015,"Austin County, Texas",pop17,29292,NA,95,17
48363,"Palo Pinto County, Texas",pop17,28109,NA,96,17
48407,"San Jacinto County, Texas",pop17,27436,NA,97,3
48185,"Grimes County, Texas",pop17,27358,NA,98,8
48463,"Uvalde County, Texas",pop17,27015,NA,99,6
48171,"Gillespie County, Texas",pop17,25939,NA,100,2
48419,"Shelby County, Texas",pop17,25689,NA,101,8
48149,"Fayette County, Texas",pop17,24963,NA,102,29
48007,"Aransas County, Texas",pop17,24832,NA,103,35
48331,"Milam County, Texas",pop17,24479,NA,104,4
48365,"Panola County, Texas",pop17,23574,NA,105,23
48293,"Limestone County, Texas",pop17,23480,NA,106,16
48219,"Hockley County, Texas",pop17,23273,NA,107,36
48179,"Gray County, Texas",pop17,22962,NA,108,5
48225,"Houston County, Texas",pop17,22849,NA,109,20
48341,"Moore County, Texas",pop17,22016,NA,110,16
48489,"Willacy County, Texas",pop17,21839,NA,111,30
48057,"Calhoun County, Texas",pop17,21821,NA,112,28
48233,"Hutchinson County, Texas",pop17,21704,NA,113,37
48457,"Tyler County, Texas",pop17,21456,NA,114,1
48019,"Bandera County, Texas",pop17,21316,NA,115,14
48089,"Colorado County, Texas",pop17,20913,NA,116,28
48177,"Gonzales County, Texas",pop17,20558,NA,117,6
48123,"DeWitt County, Texas",pop17,20474,NA,118,2
48281,"Lampasas County, Texas",pop17,20473,NA,119,26
48299,"Llano County, Texas",pop17,20195,NA,120,30
48253,"Jones County, Texas",pop17,19969,NA,121,26
48165,"Gaines County, Texas",pop17,19889,NA,122,22
48285,"Lavaca County, Texas",pop17,19859,NA,123,6
48161,"Freestone County, Texas",pop17,19646,NA,124,12
48337,"Montague County, Texas",pop17,19406,NA,125,24
48163,"Frio County, Texas",pop17,19110,NA,126,4
48117,"Deaf Smith County, Texas",pop17,18947,NA,127,22
48133,"Eastland County, Texas",pop17,18278,NA,128,19
48503,"Young County, Texas",pop17,18166,NA,129,28
48035,"Bosque County, Texas",pop17,17955,NA,130,27
48051,"Burleson County, Texas",pop17,17596,NA,131,19
48003,"Andrews County, Texas",pop17,17577,NA,132,12
48415,"Scurry County, Texas",pop17,17346,NA,133,27
48145,"Falls County, Texas",pop17,17289,NA,134,17
48289,"Leon County, Texas",pop17,16966,NA,135,28
48287,"Lee County, Texas",pop17,16850,NA,136,15
48395,"Robertson County, Texas",pop17,16727,NA,137,21
48371,"Pecos County, Texas",pop17,15804,NA,138,11
48255,"Karnes County, Texas",pop17,15051,NA,139,1
48353,"Nolan County, Texas",pop17,14990,NA,140,20
48389,"Reeves County, Texas",pop17,14791,NA,141,38
48239,"Jackson County, Texas",pop17,14756,NA,142,2
48455,"Trinity County, Texas",pop17,14481,NA,143,30
48505,"Zapata County, Texas",pop17,14415,NA,144,15
48351,"Newton County, Texas",pop17,14187,NA,145,26
48313,"Madison County, Texas",pop17,13979,NA,146,24
48059,"Callahan County, Texas",pop17,13660,NA,147,6
48093,"Comanche County, Texas",pop17,13492,NA,148,8
48279,"Lamb County, Texas",pop17,13368,NA,149,3
48115,"Dawson County, Texas",pop17,13095,NA,150,18
48487,"Wilbarger County, Texas",pop17,12972,NA,151,10
48445,"Terry County, Texas",pop17,12755,NA,152,13
48063,"Camp County, Texas",pop17,12670,NA,153,17
48343,"Morris County, Texas",pop17,12530,NA,154,9
48387,"Red River County, Texas",pop17,12353,NA,155,13
48507,"Zavala County, Texas",pop17,12152,NA,156,9
48297,"Live Oak County, Texas",pop17,12043,NA,157,7
48475,"Ward County, Texas",pop17,11498,NA,158,12
48131,"Duval County, Texas",pop17,11434,NA,159,15
48379,"Rains County, Texas",pop17,11246,NA,160,37
48031,"Blanco County, Texas",pop17,11089,NA,161,9
48127,"Dimmit County, Texas",pop17,10822,NA,162,11
48159,"Franklin County, Texas",pop17,10639,NA,163,14
48357,"Ochiltree County, Texas",pop17,10484,NA,164,33
48403,"Sabine County, Texas",pop17,10429,NA,165,16
48077,"Clay County, Texas",pop17,10369,NA,166,18
48399,"Runnels County, Texas",pop17,10266,NA,167,25
48315,"Marion County, Texas",pop17,10140,NA,168,3
48369,"Parmer County, Texas",pop17,9871,NA,169,9
48429,"Stephens County, Texas",pop17,9365,NA,170,7
48043,"Brewster County, Texas",pop17,9220,NA,171,7
48237,"Jack County, Texas",pop17,8839,NA,172,36
48009,"Archer County, Texas",pop17,8793,NA,173,13
48335,"Mitchell County, Texas",pop17,8774,NA,174,35
48425,"Somervell County, Texas",pop17,8650,NA,175,16
48501,"Yoakum County, Texas",pop17,8481,NA,176,38
48083,"Coleman County, Texas",pop17,8422,NA,177,21
48405,"San Augustine County, Texas",pop17,8403,NA,178,24
48193,"Hamilton County, Texas",pop17,8220,NA,179,20
48307,"McCulloch County, Texas",pop17,8145,NA,180,25
48069,"Castro County, Texas",pop17,7891,NA,181,29
48495,"Winkler County, Texas",pop17,7777,NA,182,34
48437,"Swisher County, Texas",pop17,7541,NA,183,9
48175,"Goliad County, Texas",pop17,7510,NA,184,1
48283,"La Salle County, Texas",pop17,7418,214,185,38
48391,"Refugio County, Texas",pop17,7293,NA,186,25
48047,"Brooks County, Texas",pop17,7251,NA,187,26
48111,"Dallam County, Texas",pop17,7207,NA,188,35
48377,"Presidio County, Texas",pop17,7191,NA,189,4
48017,"Bailey County, Texas",pop17,7098,NA,190,33
48075,"Childress County, Texas",pop17,7064,NA,191,23
48169,"Garza County, Texas",pop17,6739,190,192,6
48065,"Carson County, Texas",pop17,6033,NA,193,21
48153,"Floyd County, Texas",pop17,5953,NA,194,30
48107,"Crosby County, Texas",pop17,5895,NA,195,15
48411,"San Saba County, Texas",pop17,5851,NA,196,14
48205,"Hartley County, Texas",pop17,5821,NA,197,10
48207,"Haskell County, Texas",pop17,5806,NA,198,8
48305,"Lynn County, Texas",pop17,5785,NA,199,19
48483,"Wheeler County, Texas",pop17,5599,NA,200,23
48317,"Martin County, Texas",pop17,5547,NA,201,9
48195,"Hansford County, Texas",pop17,5532,NA,202,12
48247,"Jim Hogg County, Texas",pop17,5262,NA,203,38
48119,"Delta County, Texas",pop17,5172,NA,204,27
48333,"Mills County, Texas",pop17,4887,NA,205,13
48103,"Crane County, Texas",pop17,4836,NA,206,11
48267,"Kimble County, Texas",pop17,4432,NA,207,8
48211,"Hemphill County, Texas",pop17,4152,NA,208,18
48319,"Mason County, Texas",pop17,4122,NA,209,18
48197,"Hardeman County, Texas",pop17,3990,NA,210,4
48435,"Sutton County, Texas",pop17,3894,NA,211,11
